;;;;;;C.H Total;19:45;
;;;;;;Intervalos;03:20;
Início;;Fim;Duração;» Sexta-feira, 23 de outubro de 2026;;C.H Líquida;16:25;
08:00;-;08:15;00:15;Cerimônia de Abertura;;;;
08:15;-;08:45;00:30;"Mini Conferência:Dr. Fulvio Thomazelli
 Novas tecnologias de monitorização glicêmica: semelhantes ou diferentes na prática? - Dra. Talita Letícia Trevisan ";;ATUALIZAÇÕES;;
08:45;-;10:00;01:15;"Simpósio 1: Tratamento do diabetes tipo 2 em 3 atos: clássicos, contemporâneos e promessas - Dr. Paulo de Tarso Freitas
-Clássicos - Dr. Luiz Antonio de Araújo
-Contemporâneos - Dra. Adriana Striebel
-Promessas - Dra. Luciana Muniz Pechmann";;Data;Responsável;Alteração
10:00;-;10:20;00:20;INTERVALO;;28/abr;Grazi;Intervalos foram alterados para 20min cada
10:20;-;11:05;00:45;SIMPÓSIO SATÉLITE;;28/abr;Grazi;Sinpósio 3 - Inclusão: Carcinoma Diferenciado de Tireoide 
11:05;-;12:20;01:15;"Simpósio 2 - Diabetes Mellitus tipo 1 - Moderadora Dra  Flaviana Dalla Vechia (Jlle)
Imunomodulador: quando e como? - Dr. Mauro Scharf Pinto
Colônia de férias: experiência em SC - Dra. Julia Carpanezzi La Pastina
Incretinas no DM1 - Dr. Mauro Scharf Pinto";;28/abr;Grazi;Mini conferência - Inclusão: Carcinoma Diferenciado de Tireoide 
12:20;-;13:20;01:00;INTERVALO;;08/mai;Grazi;Dr. Mauro Scharf Pinto substituindo Caliari
13:20;-;14:35;01:15;"Simpósio 3: Tireoide - Carcinoma Diferenciado de Tireoide - Moderadora: Dra. Maria Heloísa da Silva Canalli
Estratificação de risco de recorrência: o que mudou a partir do novo guideline - Dra. Marta Amaro da Silva Duval
Quais os novos parâmetros da tireoglobulina no seguimento do CDT conform a ATA - Dra. Lireda Meneses Silva  
Metástase linfonodal no seguimento: como abordar - Dr. Cleo Otaviano Mesa Junior";;;;Dra. Fátima no Osso
14:35;-;15:20;00:45;SIMPÓSIO SATÉLITE;;;;"""Menos gordura e menos músculo"" - Incluí a Dra. Fatima"
15:20;-;15:50;00:30;"Mini Conferência: moderadora Dra. Goretti Silveira Rodrigues
Como manejar os pacientes que não apresentam uma resposta excelente ao tratamento do Carcinoma Diferenciado de Tireoide - Dr. Cleo Otaviano Mesa Júnior";;;;
15:50;-;16:10;00:20;INTERVALO;;;;
